reaction_time（10s） rwd_count
33754 32
37066 21
29745 23
25438 39
39426 11
40031 22
57245 10
13053 61
17821 67
44762 17
55316 9
48534 13
4714 326
25635 53
47140 8
45844 10
49844 10
6924 232
14764 53
6353 237
48434 14
33577 34
40323 12
2979 463
19346 48
30551 14
29790 31
45094 13
28119 18
22436 26
18499 54
51812 18
49003 8
35517 26
34631 38
35253 23
34355 33
47242 13
53396 8
8017 221
8643 221
34269 20
34852 23
59772 11
42119 20
13841 57
53462 12
11329 86
41231 20
11173 84
11399 90
46011 15
56311 14
52618 10
34348 32
43714 23
4415 342
25201 36
10545 88
50996 14
48912 8
43639 20
48389 16
45498 16
32697 23
54789 16
44150 19
2352 564
8085 216
23520 34
42923 29
31086 20
38574 18
46224 16
49882 12
47476 11
29827 22
20812 37
48076 16
50453 13
42306 16
41027 14
2385 500
14528 68
3692 436
20047 43
23850 31
32224 19
27981 27
51975 18
45808 15
36920 21
53104 16
5134 272
7426 202
13287 68
1471 879
7832 230
40937 24
51527 25
42867 11
14710 60
23473 32
34754 18
45202 20
51340 11
36243 19
27692 24
45789 14
9148 172
25907 45
46657 18
17595 61
52415 20
51094 25
57818 7
46726 8
53775 12
44585 21
59802 13
2695 515
59375 8
6096 255
5823 236
6614 202
40462 26
35901 25
50863 13
9401 125
58230 10
26950 33
21164 36
41292 21
57813 11
43666 24
6267 213
1565 880
15650 61
53826 10
37917 11
44912 20
12293 70
27743 27
31178 14
8161 203
19974 56
18059 72
24275 38
38545 12
18904 48
14391 51
43897 19
10463 119
52053 17
19193 55
10638 111
33117 26
1309 1110
21113 40
33967 27
20573 47
32195 26
13090 68
33431 25
4637 327
4101 382
9017 161
18053 57
44797 20
43824 28
23719 35
41010 26
57806 9
30272 20
46370 12
27777 32
51983 17
49349 17
24244 32
23981 30
19584 38
45759 11
28994 27
53957 14
31963 28
27278 38
58251 4
54836 6
30066 23
4649 367
39935 23
33418 15
40932 22
46490 12
49963 13
34643 28
47535 13
57192 16
172 5485
1720 791
17200 58
16185 70
26283 41
45325 18
19930 42
22302 37
1993 650
25548 39
48037 15
43502 23
42485 24
57121 10
49348 13
47623 12
28089 32
26618 29
11759 81
30382 24
54363 14
29688 19
32221 17
7576 223
6747 194
39381 17
38259 26
45401 16
38627 22
33803 31
4129 418
8281 201
41290 21
43857 22
52462 16
35393 22
44324 13
9614 118
8630 186
863 1924
13058 79
36694 15
51798 14
7640 210
11474 92
764 2149
2074 655
21442 32
53317 23
20740 34
39003 16
49654 9
21348 38
16886 77
28324 26
34653 40
54306 10
5148 308
16145 60
5063 258
16003 72
17994 71
40337 13
51480 18
50630 14
14103 67
58195 9
55308 13
11513 89
33839 30
13235 72
59484 10
16993 86
58538 12
31696 31
25297 42
6752 202
17207 66
33855 26
37254 16
53916 17
28710 16
2871 504
27782 30
43424 14
38524 26
18238 70
17239 62
14266 47
42525 16
10614 90
14713 65
53333 8
33281 24
46822 12
17685 72
55212 9
9013 170
39919 16
29029 28
29542 26
44355 19
51143 24
17964 70
9073 168
42518 22
13873 66
29843 26
51172 13
58359 13
25393 32
31852 14
55714 9
51883 13
24989 46
36027 19
40381 6
29459 11
37818 27
55545 15
48028 18
23215 30
11021 101
6749 222
50671 14
8621 216
56099 12
55198 11
56088 7
49054 9
56395 7
1179 1237
27018 42
11790 95
38198 20
47855 7
3065 475
6729 203
55141 8
46265 16
59621 17
21933 44
6153 232
54551 10
30650 26
20319 44
5947 215
41918 12
9967 110
12032 85
59470 15
53064 11
48584 11
47786 15
46761 11
4078 377
8898 181
3719 387
51952 13
21976 25
36602 17
40780 16
42441 22
43153 30
30702 20
29783 20
37272 14
37190 21
34814 29
22681 27
40616 14
30967 21
31656 20
2988 525
3021 562
32082 21
35476 30
17905 70
30210 27
29880 15
58654 10
1789 759
2550 521
255 4285
40087 16
17890 68
25500 35
11378 79
43039 19
14397 48
10535 92
22179 31
26704 35
26343 29
32820 26
3282 447
10095 113
522 2796
5220 302
25713 53
34654 27
35958 25
52200 19
1484 870
34938 22
14840 49
37401 15
54632 10
24373 43
18979 62
24579 24
34264 24
54203 9
44908 16
43548 27
44114 21
40728 15
59857 6
24839 34
33196 27
36758 24
25892 36
42159 13
58669 7
24051 35
19645 50
32579 24
13144 71
16806 74
37569 28
20362 41
40456 14
6960 205
696 2481
19157 39
16226 66
40371 10
43382 21
59214 13
14785 71
10485 101
35566 24
21376 35
12624 71
51051 16
3627 458
28629 26
34036 35
36270 22
39961 11
33327 17
2638 500
26380 34
6748 229
53355 14
40199 14
35788 32
18284 58
6178 237
28352 18
50553 14
49401 5
6161 228
2901 501
5395 262
55745 8
11695 68
32495 22
26235 39
32732 23
29010 23
14491 55
55982 14
53950 11
20361 48
32535 16
24546 38
16644 46
39179 25
52372 19
41276 7
16296 51
6508 202
44793 20
20007 45
20953 41
49127 17
32509 23
10321 111
21527 31
47863 8
30788 22
56358 13
42983 26
50056 11
484 2790
4840 313
46325 12
59764 13
49685 21
48400 15
53567 15
36575 15
46253 17
10936 86
24755 39
11557 76
23684 22
8311 222
17772 72
40916 19
57592 7
44178 23
56031 7
34559 32
45241 22
48688 11
53308 16
41033 19
37521 18
39686 10
18971 60
10218 101
28449 31
36786 20
40873 25
26737 43
57676 7
38075 14
27721 40
45847 18
48337 5
10979 103
32746 27
8229 197
4233 373
13967 60
16738 62
14587 57
16156 64
42330 12
41487 24
2993 439
25866 51
37167 20
29930 19
21923 36
41599 18
27001 35
14752 51
36233 24
29167 29
54042 14
48469 11
39642 13
5743 227
42772 14
60345 13
39086 22
57572 12
49756 14
51396 13
45488 12
57430 8
9509 135
40498 26
17372 67
655 2455
6550 207
11528 88
37208 15
36848 14
57713 5
21939 28
6967 206
8585 226
7055 236
21093 25
49267 8
27806 31
49398 12
30563 19
43703 17
6956 216
16851 80
55367 10
28113 38
45095 11
37482 17
48931 13
52938 18
37668 18
60477 10
36799 18
21869 39
37703 17
35927 22
44335 16
58511 8
22785 26
23607 34
22979 30
32596 24
50178 15
16161 77
43269 15
34626 22
21379 51
17139 59
57423 7
49218 15
7951 218
51697 19
38261 20
34696 19
29815 21
51022 20
22232 28
49704 5
55703 13
7225 202
6197 233
24651 33
31825 19
27477 46
38162 18
37203 19
52868 14
21166 31
2996 495
52865 15
48791 11
34726 26
19082 43
29960 21
50335 23
16318 64
22069 26
31539 23
55837 15
39201 16
21051 43
5003 280
22613 25
32932 37
42175 15
55701 19
19338 50
50030 10
35317 26
14864 57
19059 47
49237 12
37589 17
1158 1235
11580 78
32633 25
33293 25
52112 15
35054 26
3700 419
37 8951
370 3505
31406 22
25075 43
48786 13
15049 60
40359 17
37000 14
10014 129
35419 27
47552 22
54647 20
45836 20
43687 19
14773 63
43317 27
39136 25
27046 31
5503 303
1572 876
37606 23
16652 62
15720 64
22129 30
54987 11
32261 22
55030 8
59419 11
52346 20
27769 26
32915 28
58868 10
28276 28
53011 18
47346 10
58515 12
23072 39
21563 34
40852 17
38592 20
1944 669
19440 39
14829 71
18218 59
24608 25
50424 13
44814 10
55223 10
51133 14
2825 517
28250 21
33874 28
54578 9
45036 7
52783 11
24433 40
31822 21
27068 34
56049 10
40732 18
40644 13
23526 31
53735 16
39638 13
9695 129
33857 32
24924 41
57404 10
34558 27
29337 29
53404 16
6275 225
32283 17
38979 24
6663 228
14522 53
41875 19
43916 16
41314 7
27784 25
50919 16
59525 8
31596 20
46889 14
17828 73
34213 26
14863 68
17170 73
14357 48
55639 13
53051 18
1717 828
9908 130
59429 12
43233 24
48199 8
56052 11
13393 74
53961 13
21306 30
22899 30
17531 66
12802 81
32225 18
25213 41
23119 32
39085 16
11058 93
39794 14
14409 52
29675 21
40868 9
4019 392
40190 13
2611 518
1339 1112
45875 22
13390 64
54709 16
59978 14
26110 52
49744 17
39378 8
51222 14
57324 8
6324 220
12787 67
23148 29
41565 20
22781 29
10749 111
7936 205
10901 81
36285 32
38721 19
38973 15
28161 31
35019 27
34611 31
44544 22
36238 25
46448 13
27544 40
36938 21
18949 54
46992 17
55635 18
12123 76
44698 17
20455 37
19249 48
23181 25
17466 69
40252 15
32391 25
